DrugBank_ID,Drug_Name,Gene
DB02354,4-{[1-Methyl-5-(2-Methyl-Benzoimidazol-1-Ylmethyl)-1h-Benzoimidazol-2-Ylmethyl]-Amino}-Benzamidine,PRSS1
DB02355,Adenosine-5'-Rp-Alpha-Thio-Triphosphate,cyaC
DB02358,LY374571,MTHFD1
DB02359,"9-Butyl-8-(2,5-Dimethoxy-Benzyl)-9h-Purin-6-Ylamine",HSP90AA1
DB02360,Bis-Napthyl Beta-Ketophosphonic Acid,CTSG
DB02361,S-Methyl Thiocysteine Group,celCCG
DB02362,Aminobenzoic acid,pobA
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,PDF
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,aroE
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,RNASE1
DB02363,2'-Monophosphoadenosine-5'-Diphosphate,folA
DB02364,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,tesA
DB02365,"1,10-Phenanthroline",
DB02365,"1,10-Phenanthroline",tar
DB02366,CRA_10762,PRSS1
DB02367,(1n)-4-N-Butoxyphenylsulfonyl-(2r)-N-Hydroxycarboxamido-(4s)-Methanesulfonylamino-Pyrrolidine,MMP3
DB02368,N-Acetyl-L-Citrulline,argF'
DB02370,Nz-(1-Carboxyethyl)-Lysine,dapA
DB02371,"2-(2-Hydroxy-1,1-Dihydroxymethyl-Ethylamino)-Ethanesulfonic Acid",C1S
DB02373,Adenosine monotungstate,FHIT
DB02374,Xylose-Derived Imidazole,cex
DB02375,Myricetin,PIK3CG
DB02375,Myricetin,JAK1
DB02376,"D-gluconhydroximo-1,5-lactam",LCT
DB02377,Guanine,GCH1
DB02377,Guanine,PNP
DB02377,Guanine,xapA
DB02377,Guanine,gpt
DB02377,Guanine,
DB02378,MMI-175,BACE1
DB02379,Beta-D-Glucose,PTGS1
DB02379,Beta-D-Glucose,PYGM
DB02379,Beta-D-Glucose,GANC
DB02379,Beta-D-Glucose,GANAB
DB02379,Beta-D-Glucose,GAA
DB02379,Beta-D-Glucose,AMY2A
DB02379,Beta-D-Glucose,inhA
DB02379,Beta-D-Glucose,GCK
DB02379,Beta-D-Glucose,cslB
DB02379,Beta-D-Glucose,cel5A
DB02379,Beta-D-Glucose,LCTL
DB02379,Beta-D-Glucose,xylA
DB02379,Beta-D-Glucose,fhuA
DB02379,Beta-D-Glucose,tvaI
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,MB
DB02379,Beta-D-Glucose,HK1
DB02379,Beta-D-Glucose,amyE
DB02379,Beta-D-Glucose,cex
DB02379,Beta-D-Glucose,cgt
DB02379,Beta-D-Glucose,celCCG
DB02379,Beta-D-Glucose,LGALS7
DB02379,Beta-D-Glucose,ctxB
DB02379,Beta-D-Glucose,dmsA
DB02379,Beta-D-Glucose,AMY2B
DB02379,Beta-D-Glucose,tvaII
DB02379,Beta-D-Glucose,botB
DB02379,Beta-D-Glucose,tetX
DB02379,Beta-D-Glucose,xylA
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,amyP
DB02379,Beta-D-Glucose,celCCF
DB02379,Beta-D-Glucose,gfo
DB02379,Beta-D-Glucose,9
DB02379,Beta-D-Glucose,PYGL
DB02379,Beta-D-Glucose,SFTPD
DB02379,Beta-D-Glucose,IFNB1
DB02379,Beta-D-Glucose,amy
DB02379,Beta-D-Glucose,GLT6D1
DB02379,Beta-D-Glucose,GNPDA1
DB02379,Beta-D-Glucose,spoII
DB02379,Beta-D-Glucose,NUDT9
DB02379,Beta-D-Glucose,SMARCA5
DB02379,Beta-D-Glucose,amyA
DB02379,Beta-D-Glucose,entB
DB02379,Beta-D-Glucose,malP
DB02379,Beta-D-Glucose,stxB
DB02379,Beta-D-Glucose,NCAN
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,gdhB
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,malE
DB02379,Beta-D-Glucose,fabI
DB02379,Beta-D-Glucose,celA
DB02379,Beta-D-Glucose,celS
DB02379,Beta-D-Glucose,mglB
DB02379,Beta-D-Glucose,celB
DB02379,Beta-D-Glucose,aspA
DB02379,Beta-D-Glucose,celA1
DB02379,Beta-D-Glucose,glk
DB02379,Beta-D-Glucose,lecB
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,xynA
DB02379,Beta-D-Glucose,celB
DB02379,Beta-D-Glucose,cenC
DB02379,Beta-D-Glucose,galM
DB02379,Beta-D-Glucose,ams
DB02379,Beta-D-Glucose,cmoJ
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,mglB
DB02379,Beta-D-Glucose,eco
DB02379,Beta-D-Glucose,mutY
DB02379,Beta-D-Glucose,KRTAP5-2
DB02379,Beta-D-Glucose,SIGLEC1
DB02379,Beta-D-Glucose,nplT
DB02379,Beta-D-Glucose,xynA
DB02379,Beta-D-Glucose,lamB
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,lamB
DB02379,Beta-D-Glucose,LGALS2
DB02379,Beta-D-Glucose,treZ
DB02379,Beta-D-Glucose,ppgmk
DB02379,Beta-D-Glucose,budC
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,
DB02379,Beta-D-Glucose,KRTAP5-3
DB02379,Beta-D-Glucose,celC307
DB02379,Beta-D-Glucose,engF
DB02379,Beta-D-Glucose,celD
DB02379,Beta-D-Glucose,stx2e B
DB02381,nor-NOHA,ARG2
DB02381,nor-NOHA,ARG1
DB02382,Namn,cobT
DB02382,Namn,nadC
DB02383,Tolrestat,AKR1B1
