Gene1,Gene2,Score
RPL11,RPS15,3.99876144146949
MCM2,CDC6,3.99856796919758
RPL13A,RPL19,3.99849077258116
COX5B,ATP5F1A,3.99779646960356
RPL23A,RPL41,3.99749935006892
H2BC5,H2AC17,3.9962378470717
H2BC5,H2AC16,3.99610285836053
H2AC18,H2BC13,3.99541802482473
H2AC16,H2BC11,3.99520343018423
RPS17,RPS24,3.99500653751692
RPL17,RPS17,3.99494302193303
RPS15A,RPS25,3.99440939350156
H2BC13,H2AC25,3.99429317223066
RPL11,RPS13,3.99397483006213
H2BC8,H4C2,3.99396305562678
RPLP0,RPS18,3.99376582726882
H2AX,H2BC8,3.99359526761201
H2AX,H2BC7,3.99359526761201
H2AX,H2BC6,3.99359526761201
H2AX,H2BC9,3.99359526761201
H2AX,H2BC4,3.99359526761201
H2AX,H2BC10,3.99359526761201
H2AC6,H2BC4,3.99359526761201
H2AX,H2BC17,3.99359526761201
H2AX,H2BC21,3.99359526761201
H2AC6,H2BC6,3.99359526761201
H2AC6,H2BC9,3.99359526761201
H2AC6,H2BC10,3.99359526761201
H2AC6,H2BC17,3.99359526761201
PSMA6,PSMB1,3.99304408955268
HSPA4,DNAJA4,3.99304050832654
RPL12,RPS4X,3.99274281995866
RPS7,RPS13,3.99233112686597
RPS7,RPS27A,3.99228124830904
RPL38,RPS6,3.99085453497642
RPS6,RPS15A,3.9908306654943
RPL13A,RPS11,3.99080691890812
RPS29,EIF4H,3.99052419453538
H2AX,H2BC12,3.99040838562417
H2AX,H2BC11,3.99040838562417
H2AX,H2BC15,3.99040838562417
H4C11,H2BC12,3.9900071658115
H2BC7,H2AC25,3.98994315546271
H2BC17,H2AC25,3.98994315546271
H2BC6,H2AC25,3.98994315546271
H2BC9,H2AC25,3.98994315546271
H2BC10,H2AC25,3.98994315546271
H2BC4,H2AC25,3.98994315546271
PSMA2,PSMA6,3.98982036027319
FGF10,FGFR2,3.98946736492181
RPL7,RPS11,3.98923911441978
DNAJC13,HSPA4,3.98910983609326
H2AC17,H2BC13,3.98903667317771
RPL7,RPLP2,3.98888108249502
PSMA2,PSMB2,3.98884364911725
H4C16,H2BC8,3.98803966814887
H4C16,H2BC7,3.98803966814887
H4C16,H2BC6,3.98803966814887
H4C16,H2BC10,3.98803966814887
H4C16,H2BC4,3.98803966814887
H2BC10,H4C14,3.98803966814887
H2BC4,H4C14,3.98803966814887
H2BC4,H4C13,3.98803966814887
H2BC4,H4C5,3.98803966814887
H2BC4,H4C2,3.98803966814887
H2BC4,H4C8,3.98803966814887
H2BC4,H4C3,3.98803966814887
H2BC4,H4C12,3.98803966814887
H2BC4,H4C6,3.98803966814887
H2BC4,H4C4,3.98803966814887
H2BC4,H4C1,3.98803966814887
H2BC10,H4C13,3.98803966814887
H2BC10,H4C5,3.98803966814887
H2BC10,H4C2,3.98803966814887
H2BC4,H4C11,3.98803966814887
H2BC7,H4C12,3.98803966814887
H4C9,H2BC8,3.98803966814887
H2BC7,H4C8,3.98803966814887
H2BC7,H4C5,3.98803966814887
H2BC7,H4C13,3.98803966814887
H2BC7,H4C14,3.98803966814887
H2BC6,H4C1,3.98803966814887
H2BC6,H4C4,3.98803966814887
H2BC6,H4C6,3.98803966814887
H2BC6,H4C12,3.98803966814887
H2BC6,H4C11,3.98803966814887
H2BC6,H4C3,3.98803966814887
H2BC6,H4C8,3.98803966814887
H2BC6,H4C2,3.98803966814887
H2BC6,H4C5,3.98803966814887
H2BC6,H4C13,3.98803966814887
H2BC6,H4C14,3.98803966814887
H2BC10,H4C1,3.98803966814887
H2BC10,H4C4,3.98803966814887
H2BC10,H4C6,3.98803966814887
H2BC7,H4C2,3.98803966814887
H2BC7,H4C3,3.98803966814887
H4C9,H2BC7,3.98803966814887
H2BC7,H4C11,3.98803966814887
H4C9,H2BC6,3.98803966814887
H4C9,H2BC10,3.98803966814887
H4C9,H2BC4,3.98803966814887
H2BC8,H4C1,3.98803966814887
H2BC8,H4C4,3.98803966814887
H2BC8,H4C6,3.98803966814887
H2BC8,H4C12,3.98803966814887
H2BC8,H4C11,3.98803966814887
H2BC8,H4C3,3.98803966814887
H2BC8,H4C8,3.98803966814887
H2BC8,H4C5,3.98803966814887
H2BC8,H4C13,3.98803966814887
H2BC8,H4C14,3.98803966814887
H2BC7,H4C1,3.98803966814887
H2BC7,H4C4,3.98803966814887
H2BC7,H4C6,3.98803966814887
H2BC10,H4C8,3.98803966814887
H2BC10,H4C12,3.98803966814887
H2BC10,H4C11,3.98803966814887
H2BC10,H4C3,3.98803966814887
RPL19,RPS20,3.98797900619005
FAU,RPS17,3.9872594603341
H2BC3,H2AC6,3.98709744093225
H2AX,H2BC3,3.98709744093225
H2AX,H2BC5,3.98709744093225
H2BC21,H4C8,3.98675623101172
H2BC9,H4C6,3.98675623101172
H2BC9,H4C2,3.98675623101172
H2BC9,H4C3,3.98675623101172
H2BC9,H4C11,3.98675623101172
H2BC9,H4C12,3.98675623101172
H4C9,H2BC9,3.98675623101172
H2BC9,H4C4,3.98675623101172
H2BC9,H4C1,3.98675623101172
H4C9,H2BC21,3.98675623101172
H4C16,H2BC21,3.98675623101172
H4C16,H2BC9,3.98675623101172
H2BC9,H4C5,3.98675623101172
H2BC9,H4C8,3.98675623101172
H2BC9,H4C13,3.98675623101172
H2BC21,H4C11,3.98675623101172
H2BC9,H4C14,3.98675623101172
H2BC21,H4C13,3.98675623101172
H2BC21,H4C5,3.98675623101172
H2BC21,H4C2,3.98675623101172
H2BC21,H4C3,3.98675623101172
H2BC21,H4C14,3.98675623101172
H2BC21,H4C12,3.98675623101172
H2BC21,H4C6,3.98675623101172
H2BC21,H4C4,3.98675623101172
H2BC21,H4C1,3.98675623101172
H2BC15,H2AC25,3.98666818869829
H2BC10,H2AC11,3.98612765071408
H2AC8,H2BC9,3.98612765071408
H2BC6,H2AC11,3.98612765071408
H2BC9,H2AC11,3.98612765071408
H2AC8,H2BC6,3.98612765071408
H2AC8,H2BC7,3.98612765071408
H2BC4,H2AC11,3.98612765071408
H2AC8,H2BC8,3.98612765071408
H2AC13,H2BC10,3.98612765071408
H2BC17,H2AC11,3.98612765071408
H2BC21,H2AC11,3.98612765071408
H2BC8,H2AC11,3.98612765071408
H2BC7,H2AC11,3.98612765071408
H2AC13,H2BC4,3.98612765071408
H2AC18,H2BC17,3.98612765071408
H2AC17,H2BC6,3.98612765071408
H2AC4,H2BC21,3.98612765071408
H2AC15,H2BC7,3.98612765071408
H2AC15,H2BC6,3.98612765071408
H2AC15,H2BC9,3.98612765071408
H2AC15,H2BC10,3.98612765071408
H2AC15,H2BC4,3.98612765071408
H2AC15,H2BC17,3.98612765071408
H2AC15,H2BC21,3.98612765071408
H2AC16,H2BC7,3.98612765071408
H2AC16,H2BC6,3.98612765071408
H2AC16,H2BC9,3.98612765071408
H2AC16,H2BC10,3.98612765071408
H2AC16,H2BC4,3.98612765071408
H2AC16,H2BC17,3.98612765071408
H2AC4,H2BC17,3.98612765071408
H2AC4,H2BC8,3.98612765071408
H2AC4,H2BC4,3.98612765071408
H2AC4,H2BC7,3.98612765071408
H2AC4,H2BC10,3.98612765071408
H2AC17,H2BC7,3.98612765071408
H2AC17,H2BC9,3.98612765071408
H2AC4,H2BC9,3.98612765071408
H2AC17,H2BC10,3.98612765071408
H2AC13,H2BC17,3.98612765071408
H2AC18,H2BC4,3.98612765071408
H2AC18,H2BC10,3.98612765071408
H2AC8,H2BC4,3.98612765071408
H2AC8,H2BC17,3.98612765071408
H2AC8,H2BC21,3.98612765071408
H2AC8,H2BC10,3.98612765071408
H2AC18,H2BC9,3.98612765071408
H2AC18,H2BC6,3.98612765071408
