ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID,miRNA_ID,Drug_ID,Pair_ID,PairEvidenceCount
hsa-mir-107,miRNA,TAXOL,DB01229,36314,15,67,15_67,2
hsa-mir-107,miRNA,SORAFENIB,DB00398,216239,15,74,15_74,1
hsa-mir-107,miRNA,APICIDIN,,6918328,15,96,15_96,1
hsa-mir-107,miRNA,VORINOSTAT,DB02546,5311,15,42,15_42,1
hsa-mir-10a-5p,miRNA,DOXORUBICIN,DB00997,31703,16,89,16_89,1
hsa-mir-10a-5p,miRNA,VERAPAMIL,DB00661,2520,16,21,16_21,1
hsa-mir-10a-5p,miRNA,CISPLATIN,DB00515,5460033,16,103,16_103,1
hsa-mir-10a-5p,miRNA,IMATINIB,DB00619,5291,16,41,16_41,1
hsa-mir-10a-5p,miRNA,TAMOXIFEN,DB00675,2733525,16,123,16_123,1
hsa-mir-10a-5p,miRNA,CYCLOPAMINE,,442972,16,102,16_102,1
hsa-mir-10a-5p,miRNA,PACLITAXEL,DB01229,36314,16,67,16_67,1
hsa-mir-10a-5p,miRNA,GEMCITABINE,DB00441,60750,16,55,16_55,1
hsa-mir-10a-5p,miRNA,VINORELBINE,DB00361,44424639,16,150,16_150,1
hsa-mir-10a-5p,miRNA,CYTARABINE,DB00987,6253,16,35,16_35,1
hsa-mir-10a-5p,miRNA,SORAFENIB,DB00398,216239,16,74,16_74,1
hsa-mir-10a-5p,miRNA,GEFITINIB,DB00317,123631,16,84,16_84,1
hsa-mir-10a-5p,miRNA,TEMOZOLOMIDE,DB00853,5394,16,174,16_174,1
hsa-mir-10a-5p,miRNA,CERITINIB,DB09063,57379345,16,160,16_160,1
hsa-mir-10a-5p,miRNA,FLUOROURACIL,DB00544,3385,16,7,16_7,1
hsa-mir-10a-5p,miRNA,PLATINUM,DB12257,23939,16,188,16_188,1
hsa-mir-10a-5p,miRNA,OXALIPLATIN,DB00526,6857599,16,204,16_204,1
hsa-mir-10b-5p,miRNA,DOXORUBICIN,DB00997,31703,17,89,17_89,1
hsa-mir-10b-5p,miRNA,VERAPAMIL,DB00661,2520,17,21,17_21,1
hsa-mir-10b-5p,miRNA,CISPLATIN,DB00515,5460033,17,103,17_103,1
hsa-mir-10b-5p,miRNA,FLUOROURACIL,DB00544,3385,17,7,17_7,1
hsa-mir-10b-5p,miRNA,CYCLOPAMINE,,442972,17,102,17_102,1
hsa-mir-10b-5p,miRNA,PACLITAXEL,DB01229,36314,17,67,17_67,1
hsa-mir-10b-5p,miRNA,GEMCITABINE,DB00441,60750,17,55,17_55,1
hsa-mir-10b-5p,miRNA,OXALIPLATIN,DB00526,6857599,17,204,17_204,1
hsa-mir-10b-5p,miRNA,GEFITINIB,DB00317,123631,17,84,17_84,1
hsa-mir-10b-5p,miRNA,CYTARABINE,DB00987,6253,17,35,17_35,1
hsa-mir-10b-5p,miRNA,TAXANE,,9548828,17,124,17_124,1
hsa-mir-10b-5p,miRNA,TAMOXIFEN,DB00675,2733525,17,123,17_123,1
hsa-mir-10b-5p,miRNA,SORAFENIB,DB00398,216239,17,74,17_74,1
hsa-mir-10b-5p,miRNA,PLATINUM,DB12257,23939,17,188,17_188,1
hsa-mir-10b-5p,miRNA,AZACITIDINE,DB00928,9444,17,179,17_179,1
hsa-mir-10b-5p,miRNA,CERITINIB,DB09063,57379345,17,160,17_160,1
hsa-mir-10b-5p,miRNA,TRAMETINIB,DB08911,11707110,17,101,17_101,1
hsa-mir-10b-5p,miRNA,VEMURAFENIB,DB08881,42611257,17,148,17_148,1
hsa-mir-10b-5p,miRNA,ETOPOSIDE,DB00773,36462,17,68,17_68,1
hsa-mir-10b-5p,miRNA,VINORELBINE,DB00361,44424639,17,150,17_150,1
hsa-mir-10b-5p,miRNA,VINCRISTINE,DB00541,5978,17,177,17_177,1
hsa-mir-1178-3p,miRNA,OXALIPLATIN,DB00526,6857599,18,204,18_204,1
hsa-mir-1178-3p,miRNA,TRAMETINIB,DB08911,11707110,18,101,18_101,1
hsa-mir-1178-3p,miRNA,VEMURAFENIB,DB08881,42611257,18,148,18_148,1
hsa-mir-1179,miRNA,OXALIPLATIN,DB00526,6857599,19,204,19_204,1
hsa-mir-1180-3p,miRNA,PACLITAXEL,DB01229,36314,20,67,20_67,1
hsa-mir-1180-3p,miRNA,CISPLATIN,DB00515,5460033,20,103,20_103,1
hsa-mir-1180-3p,miRNA,FLUOROURACIL,DB00544,3385,20,7,20_7,1
hsa-mir-1180-3p,miRNA,GEMCITABINE,DB00441,60750,20,55,20_55,1
hsa-mir-1180-3p,miRNA,DABRAFENIB,DB08912,44462760,20,142,20_142,1
hsa-mir-1181,miRNA,OXALIPLATIN,DB00526,6857599,21,204,21_204,1
hsa-mir-1181,miRNA,PLATINUM,DB12257,23939,21,188,21_188,1
hsa-mir-1181,miRNA,SORAFENIB,DB00398,216239,21,74,21_74,1
hsa-mir-1181,miRNA,PACLITAXEL,DB01229,36314,21,67,21_67,1
hsa-mir-1181,miRNA,CISPLATIN,DB00515,5460033,21,103,21_103,1
hsa-mir-1182,miRNA,CISPLATIN,DB00515,5460033,22,103,22_103,1
hsa-mir-1182,miRNA,OXALIPLATIN,DB00526,6857599,22,204,22_204,1
hsa-mir-1182,miRNA,PLATINUM,DB12257,23939,22,188,22_188,1
hsa-mir-1182,miRNA,GEMCITABINE,DB00441,60750,22,55,22_55,1
hsa-mir-1182,miRNA,TRAMETINIB,DB08911,11707110,22,101,22_101,1
hsa-mir-1182,miRNA,VEMURAFENIB,DB08881,42611257,22,148,22_148,1
hsa-mir-1182,miRNA,DOCETAXEL,DB01248,148124,22,3,22_3,1
hsa-mir-1183,miRNA,CISPLATIN,DB00515,5460033,23,103,23_103,1
hsa-mir-1183,miRNA,OXALIPLATIN,DB00526,6857599,23,204,23_204,1
hsa-mir-1183,miRNA,PLATINUM,DB12257,23939,23,188,23_188,1
hsa-mir-1183,miRNA,TRAMETINIB,DB08911,11707110,23,101,23_101,1
hsa-mir-1183,miRNA,VEMURAFENIB,DB08881,42611257,23,148,23_148,1
hsa-mir-1197,miRNA,PACLITAXEL,DB01229,36314,25,67,25_67,1
hsa-mir-1200,miRNA,PACLITAXEL,DB01229,36314,26,67,26_67,1
hsa-mir-1200,miRNA,OXALIPLATIN,DB00526,6857599,26,204,26_204,1
hsa-mir-1200,miRNA,IMATINIB,DB00619,5291,26,41,26_41,1
hsa-mir-1200,miRNA,TEMOZOLOMIDE,DB00853,5394,26,174,26_174,1
hsa-mir-1203,miRNA,TEMOZOLOMIDE,DB00853,5394,27,174,27_174,1
hsa-mir-1204,miRNA,PACLITAXEL,DB01229,36314,28,67,28_67,1
hsa-mir-1204,miRNA,VEMURAFENIB,DB08881,42611257,28,148,28_148,1
hsa-mir-1204,miRNA,TRAMETINIB,DB08911,11707110,28,101,28_101,1
hsa-mir-1204,miRNA,GEMCITABINE,DB00441,60750,28,55,28_55,1
hsa-mir-1205,miRNA,DOCETAXEL,DB01248,148124,29,3,29_3,1
hsa-mir-1206,miRNA,OXALIPLATIN,DB00526,6857599,30,204,30_204,1
hsa-mir-1206,miRNA,GEMCITABINE,DB00441,60750,30,55,30_55,1
hsa-mir-122-5p,miRNA,DOXORUBICIN,DB00997,31703,31,89,31_89,1
hsa-mir-122-5p,miRNA,SORAFENIB,DB00398,216239,31,74,31_74,1
hsa-mir-122-5p,miRNA,CISPLATIN,DB00515,5460033,31,103,31_103,1
hsa-mir-122-5p,miRNA,VINCRISTINE,DB00541,5978,31,177,31_177,1
hsa-mir-122-5p,miRNA,BORTEZOMIB,DB00188,387447,31,17,31_17,1
hsa-mir-122-5p,miRNA,FLUOROURACIL,DB00544,3385,31,7,31_7,1
hsa-mir-122-5p,miRNA,OXALIPLATIN,DB00526,6857599,31,204,31_204,1
hsa-mir-122-5p,miRNA,GEFITINIB,DB00317,123631,31,84,31_84,1
hsa-mir-122-5p,miRNA,TAXOL,DB01229,36314,31,67,31_67,1
hsa-mir-122-5p,miRNA,FULVESTRANT,DB00947,17756771,31,134,31_134,1
hsa-mir-122-5p,miRNA,BROMOCRIPTINE,DB01200,31101,31,86,31_86,1
hsa-mir-1225-3p,miRNA,CERITINIB,DB09063,57379345,32,160,32_160,1
